 ,X,Y
1,145.781,159.938
2,146.969,159.906
3,147.969,159.875
4,148.656,159.906
5,149.094,159.938
6,149.938,160.031
7,151.000,159.969
8,153.906,165.875
9,153.969,166.875
10,153.969,167.875
11,153.906,168.500
12,153.938,169.094
13,153.875,169.938
14,153.875,171.000
