 ,X,Y
1,206.250,318.812
2,208.656,318.719
3,211.094,318.750
4,213.031,318.906
5,214.750,318.906
6,217.531,319.000
7,220.188,319.062
8,234.875,334.062
9,234.812,336.000
10,234.750,337.812
11,235.000,340.562
12,235.062,343.000
13,235.000,345.062
14,235.125,346.938
