 ,X,Y
1,250.000,321.000
2,252.500,320.958
3,254.792,320.833
4,257.000,321.000
5,259.042,321.042
6,260.958,320.958
7,262.875,320.833
8,276.792,334.792
9,276.750,336.875
10,276.958,339.000
11,277.000,340.833
12,277.000,342.708
13,276.875,344.708
14,276.958,346.750
