 ,X,Y
1,102.812,159.750
2,104.438,159.906
3,106.094,159.781
4,107.062,159.906
5,108.031,159.969
6,108.969,160.000
7,109.938,160.000
8,112.938,166.938
9,113.000,167.938
10,112.969,168.906
11,113.000,169.938
12,113.000,170.906
13,113.000,172.406
14,112.938,174.031
